ts,ticker,model,n,errors,error_rate,ttft_p50,ttft_p95,ttft_p99,total_p50,total_p95,total_p99,tok_per_sec,provider,date,hour_utc,ttft_tail_ratio
2026-08-05T12:10:51.923679+00:00,GROQ,llama-3.3-70b-versatile,8,0,0.0,193.0,250.6,250.6,340.3,414.7,414.7,131.0,groq,2026-08-05,12,1.298
2026-08-05T12:10:55.695503+00:00,L8B,llama-3.1-8b-instant,8,0,0.0,62.9,110.2,110.2,192.9,242.8,242.8,265.6,groq,2026-08-05,12,1.752
2026-08-05T12:11:02.145435+00:00,OSS,openai/gpt-oss-120b,8,0,0.0,209.3,1871.6,1871.6,287.0,1942.6,1942.6,134.4,groq,2026-08-05,12,8.942
2026-08-05T12:11:04.536232+00:00,QWEN,qwen/qwen3-32b,6,6,1.0,,,,,,,,groq,2026-08-05,12,
2026-08-05T12:11:18.505509+00:00,GMNI,gemini-2.5-flash,6,0,0.0,1643.3,1681.7,1681.7,1643.3,1681.7,1681.7,6.2,google,2026-08-05,12,1.023
2026-08-05T12:12:22.016515+00:00,CBRS,gpt-oss-120b,8,2,0.25,132.6,276.8,276.8,148.1,305.9,305.9,582.8,cerebras,2026-08-05,12,2.087
2026-08-05T12:12:39.517148+00:00,OPRT,google/gemma-4-31b-it:free,6,6,1.0,,,,,,,,openrouter,2026-08-05,12,
2026-08-05T15:24:33.733884+00:00,GROQ,llama-3.3-70b-versatile,8,0,0.0,116.5,357.4,357.4,338.8,708.7,708.7,117.2,groq,2026-08-05,15,3.068
2026-08-05T15:24:38.025172+00:00,L8B,llama-3.1-8b-instant,8,0,0.0,76.0,115.1,115.1,211.8,325.9,325.9,229.3,groq,2026-08-05,15,1.514
2026-08-05T15:24:43.658392+00:00,OSS,openai/gpt-oss-120b,8,0,0.0,240.7,486.4,486.4,315.5,554.0,554.0,203.7,groq,2026-08-05,15,2.021
2026-08-05T15:25:51.315994+00:00,CBRS,gpt-oss-120b,8,2,0.25,207.2,2673.8,2673.8,209.2,2687.5,2687.5,101.4,cerebras,2026-08-05,15,12.904
2026-08-05T17:51:24.277108+00:00,GROQ,llama-3.3-70b-versatile,8,0,0.0,224.0,344.0,344.0,394.7,520.3,520.3,116.6,groq,2026-08-05,17,1.536
2026-08-05T17:51:28.351743+00:00,L8B,llama-3.1-8b-instant,8,0,0.0,81.8,91.5,91.5,222.8,312.0,312.0,209.4,groq,2026-08-05,17,1.119
2026-08-05T17:51:33.507748+00:00,OSS,openai/gpt-oss-120b,8,0,0.0,255.7,437.4,437.4,332.4,508.7,508.7,233.3,groq,2026-08-05,17,1.711
2026-08-05T17:52:38.397497+00:00,CBRS,gpt-oss-120b,8,2,0.25,193.7,1294.7,1294.7,207.7,1322.9,1322.9,204.7,cerebras,2026-08-05,17,6.684
2026-08-05T19:50:27.415359+00:00,GROQ,llama-3.3-70b-versatile,8,0,0.0,91.0,199.8,199.8,300.1,435.6,435.6,143.5,groq,2026-08-05,19,2.196
2026-08-05T19:50:31.816813+00:00,L8B,llama-3.1-8b-instant,8,0,0.0,71.3,92.8,92.8,202.2,616.7,616.7,186.0,groq,2026-08-05,19,1.302
2026-08-05T19:50:38.208190+00:00,OSS,openai/gpt-oss-120b,8,0,0.0,261.0,919.2,919.2,333.8,988.0,988.0,155.3,groq,2026-08-05,19,3.522
2026-08-05T19:51:41.784228+00:00,CBRS,gpt-oss-120b,8,2,0.25,129.1,204.0,204.0,147.6,215.5,215.5,543.7,cerebras,2026-08-05,19,1.58
2026-08-05T21:22:32.598159+00:00,GROQ,llama-3.3-70b-versatile,8,0,0.0,170.0,238.7,238.7,318.8,413.1,413.1,142.6,groq,2026-08-05,21,1.404
2026-08-05T21:22:36.330584+00:00,L8B,llama-3.1-8b-instant,8,0,0.0,52.4,170.1,170.1,155.6,294.5,294.5,257.6,groq,2026-08-05,21,3.246
2026-08-05T21:22:41.459688+00:00,OSS,openai/gpt-oss-120b,8,0,0.0,282.6,313.7,313.7,356.2,394.6,394.6,210.1,groq,2026-08-05,21,1.11
2026-08-05T21:23:44.646815+00:00,CBRS,gpt-oss-120b,8,2,0.25,141.2,236.4,236.4,162.1,241.0,241.0,619.1,cerebras,2026-08-05,21,1.674
2026-08-05T23:15:44.804454+00:00,GROQ,llama-3.3-70b-versatile,8,0,0.0,216.0,234.8,234.8,369.7,439.4,439.4,129.1,groq,2026-08-05,23,1.087
2026-08-05T23:15:48.988051+00:00,L8B,llama-3.1-8b-instant,8,0,0.0,104.0,218.1,218.1,231.4,326.2,326.2,191.4,groq,2026-08-05,23,2.097
2026-08-05T23:15:54.248322+00:00,OSS,openai/gpt-oss-120b,8,0,0.0,287.5,401.4,401.4,349.6,469.8,469.8,234.6,groq,2026-08-05,23,1.396
2026-08-05T23:16:57.993417+00:00,CBRS,gpt-oss-120b,8,2,0.25,205.2,264.3,264.3,223.5,277.2,277.2,453.1,cerebras,2026-08-05,23,1.288
2026-08-06T03:31:10.649194+00:00,GROQ,llama-3.3-70b-versatile,8,0,0.0,253.4,275.7,275.7,432.2,450.7,450.7,114.8,groq,2026-08-06,3,1.088
2026-08-06T03:31:14.363300+00:00,L8B,llama-3.1-8b-instant,8,0,0.0,156.8,215.9,215.9,252.5,362.2,362.2,174.0,groq,2026-08-06,3,1.377
2026-08-06T03:31:18.385898+00:00,OSS,openai/gpt-oss-120b,8,0,0.0,225.1,352.3,352.3,316.7,426.2,426.2,261.9,groq,2026-08-06,3,1.565
2026-08-06T03:32:21.358694+00:00,CBRS,gpt-oss-120b,8,2,0.25,214.3,351.0,351.0,231.1,358.9,358.9,316.3,cerebras,2026-08-06,3,1.638
